date,value,ticker
2021-08-30,1166.3300,DEXKOUS
2021-08-31,1158.3200,DEXKOUS
2021-09-01,1156.0300,DEXKOUS
2021-09-02,1160.9500,DEXKOUS
2021-09-03,1155.4400,DEXKOUS
2021-09-07,1162.8800,DEXKOUS
2021-09-08,1166.2100,DEXKOUS
2021-09-09,1169.6100,DEXKOUS
2021-09-10,1169.6300,DEXKOUS
2021-09-13,1173.3300,DEXKOUS
2021-09-14,1170.7100,DEXKOUS
2021-09-15,1168.5800,DEXKOUS
2021-09-16,1171.2300,DEXKOUS
2021-09-17,1175.3400,DEXKOUS
2021-09-20,1186.7300,DEXKOUS
2021-09-21,1185.1500,DEXKOUS
2021-09-22,1182.4100,DEXKOUS
2021-09-23,1173.4800,DEXKOUS
2021-09-24,1176.5300,DEXKOUS
2021-09-27,1175.9000,DEXKOUS
2021-09-28,1183.6100,DEXKOUS
2021-09-29,1181.7500,DEXKOUS
2021-09-30,1183.7000,DEXKOUS
2021-10-01,1187.2400,DEXKOUS
2021-10-04,1182.4000,DEXKOUS
2021-10-05,1188.3100,DEXKOUS
2021-10-06,1192.6000,DEXKOUS
2021-10-07,1190.7600,DEXKOUS
2021-10-08,1194.5800,DEXKOUS
2021-10-12,1198.7200,DEXKOUS
2021-10-13,1193.8900,DEXKOUS
2021-10-14,1186.3000,DEXKOUS
2021-10-15,1182.3400,DEXKOUS
2021-10-18,1187.5500,DEXKOUS
2021-10-19,1175.3200,DEXKOUS
2021-10-20,1175.0500,DEXKOUS
2021-10-21,1177.2500,DEXKOUS
2021-10-22,1176.8500,DEXKOUS
2021-10-25,1167.5900,DEXKOUS
2021-10-26,1167.5800,DEXKOUS
2021-10-27,1171.1900,DEXKOUS
2021-10-28,1167.3400,DEXKOUS
2021-10-29,1174.9400,DEXKOUS
2021-11-01,1177.7300,DEXKOUS
2021-11-02,1177.0400,DEXKOUS
2021-11-03,1184.5600,DEXKOUS
2021-11-04,1186.7700,DEXKOUS
2021-11-05,1183.2800,DEXKOUS
2021-11-08,1180.6400,DEXKOUS
2021-11-09,1178.6400,DEXKOUS
2021-11-10,1181.1600,DEXKOUS
2021-11-12,1179.2300,DEXKOUS
2021-11-15,1181.6100,DEXKOUS
2021-11-16,1183.3000,DEXKOUS
2021-11-17,1182.4000,DEXKOUS
2021-11-18,1183.4200,DEXKOUS
2021-11-19,1184.9300,DEXKOUS
2021-11-22,1185.3300,DEXKOUS
2021-11-23,1190.3100,DEXKOUS
2021-11-24,1186.0100,DEXKOUS
2021-11-26,1194.4300,DEXKOUS
2021-11-29,1192.9600,DEXKOUS
2021-11-30,1187.4500,DEXKOUS
2021-12-01,1187.4500,DEXKOUS
2021-12-02,1175.1800,DEXKOUS
2021-12-03,1179.8400,DEXKOUS
2021-12-06,1182.2900,DEXKOUS
2021-12-07,1179.2400,DEXKOUS
2021-12-08,1175.1900,DEXKOUS
2021-12-09,1173.5900,DEXKOUS
2021-12-10,1180.9900,DEXKOUS
2021-12-13,1184.1900,DEXKOUS
2021-12-14,1182.7000,DEXKOUS
2021-12-15,1186.0600,DEXKOUS
2021-12-16,1183.5900,DEXKOUS
2021-12-17,1181.0300,DEXKOUS
2021-12-20,1191.0700,DEXKOUS
2021-12-21,1192.3500,DEXKOUS
2021-12-22,1190.2100,DEXKOUS
2021-12-23,1187.5900,DEXKOUS
2021-12-27,1186.8200,DEXKOUS
2021-12-28,1188.1500,DEXKOUS
2021-12-29,1185.5100,DEXKOUS
2021-12-30,1188.5900,DEXKOUS
2022-01-03,1191.3900,DEXKOUS
2022-01-04,1193.7700,DEXKOUS
2022-01-05,1196.3800,DEXKOUS
2022-01-06,1205.0200,DEXKOUS
2022-01-07,1200.7800,DEXKOUS
2022-01-10,1199.1300,DEXKOUS
2022-01-11,1194.6200,DEXKOUS
2022-01-12,1187.3400,DEXKOUS
2022-01-13,1187.9500,DEXKOUS
2022-01-14,1186.9600,DEXKOUS
2022-01-18,1192.7400,DEXKOUS
2022-01-19,1188.5100,DEXKOUS
2022-01-20,1191.9600,DEXKOUS
2022-01-21,1193.8700,DEXKOUS
2022-01-24,1195.6800,DEXKOUS
2022-01-25,1198.6600,DEXKOUS
2022-01-26,1197.4600,DEXKOUS
2022-01-27,1202.6500,DEXKOUS
2022-01-28,1209.0400,DEXKOUS
2022-01-31,1206.7800,DEXKOUS
2022-02-01,1209.4400,DEXKOUS
2022-02-02,1201.7000,DEXKOUS
2022-02-03,1206.3500,DEXKOUS
2022-02-04,1199.4300,DEXKOUS
2022-02-07,1198.6400,DEXKOUS
2022-02-08,1198.0500,DEXKOUS
2022-02-09,1196.3600,DEXKOUS
2022-02-10,1196.3100,DEXKOUS
2022-02-11,1198.7200,DEXKOUS
2022-02-14,1196.2100,DEXKOUS
2022-02-15,1199.7800,DEXKOUS
2022-02-16,1197.5100,DEXKOUS
2022-02-17,1197.3900,DEXKOUS
2022-02-18,1195.4000,DEXKOUS
2022-02-22,1192.0700,DEXKOUS
2022-02-23,1193.4200,DEXKOUS
2022-02-24,1202.3400,DEXKOUS
2022-02-25,1201.9300,DEXKOUS
2022-02-28,1202.2800,DEXKOUS
2022-03-01,1204.3400,DEXKOUS
2022-03-02,1205.5800,DEXKOUS
2022-03-03,1204.3500,DEXKOUS
2022-03-04,1213.7100,DEXKOUS
2022-03-07,1226.7800,DEXKOUS
2022-03-08,1237.1800,DEXKOUS
2022-03-09,1234.0100,DEXKOUS
2022-03-10,1228.2100,DEXKOUS
2022-03-11,1231.4700,DEXKOUS
2022-03-14,1241.4600,DEXKOUS
2022-03-15,1242.6500,DEXKOUS
2022-03-16,1228.0400,DEXKOUS
2022-03-17,1214.3300,DEXKOUS
2022-03-18,1212.2000,DEXKOUS
2022-03-21,1216.1200,DEXKOUS
2022-03-22,1217.0900,DEXKOUS
2022-03-23,1217.9200,DEXKOUS
2022-03-24,1220.4500,DEXKOUS
2022-03-25,1218.7700,DEXKOUS
2022-03-28,1225.4600,DEXKOUS
2022-03-29,1219.2100,DEXKOUS
2022-03-30,1208.4600,DEXKOUS
2022-03-31,1211.5500,DEXKOUS
2022-04-01,1215.2900,DEXKOUS
2022-04-04,1214.7200,DEXKOUS
2022-04-05,1212.5500,DEXKOUS
2022-04-06,1212.5500,DEXKOUS
2022-04-07,1218.9600,DEXKOUS
2022-04-08,1225.1300,DEXKOUS
2022-04-11,1233.3800,DEXKOUS
2022-04-12,1236.0300,DEXKOUS
2022-04-13,1227.1700,DEXKOUS
2022-04-14,1224.1800,DEXKOUS
2022-04-15,1227.9700,DEXKOUS
2022-04-18,1233.7300,DEXKOUS
2022-04-19,1236.5300,DEXKOUS
2022-04-20,1235.2800,DEXKOUS
2022-04-21,1238.1300,DEXKOUS
2022-04-22,1239.6600,DEXKOUS
2022-04-25,1249.8700,DEXKOUS
2022-04-26,1260.3700,DEXKOUS
2022-04-27,1269.3500,DEXKOUS
2022-04-28,1271.5000,DEXKOUS
2022-04-29,1255.8700,DEXKOUS
2022-05-02,1265.2400,DEXKOUS
2022-05-03,1267.8200,DEXKOUS
2022-05-04,1265.2200,DEXKOUS
2022-05-05,1256.0500,DEXKOUS
2022-05-06,1272.5800,DEXKOUS
2022-05-09,1276.2900,DEXKOUS
2022-05-10,1275.0200,DEXKOUS
2022-05-11,1275.0400,DEXKOUS
2022-05-12,1288.6500,DEXKOUS
2022-05-13,1283.5100,DEXKOUS
2022-05-16,1284.7900,DEXKOUS
2022-05-17,1274.3300,DEXKOUS
2022-05-18,1266.3600,DEXKOUS
2022-05-19,1276.9100,DEXKOUS
2022-05-20,1267.8700,DEXKOUS
2022-05-23,1263.8500,DEXKOUS
2022-05-24,1265.9700,DEXKOUS
2022-05-25,1264.5800,DEXKOUS
2022-05-26,1267.8300,DEXKOUS
2022-05-27,1250.1300,DEXKOUS
2022-05-31,1236.9300,DEXKOUS
2022-06-01,1246.5200,DEXKOUS
2022-06-02,1252.0300,DEXKOUS
2022-06-03,1242.2300,DEXKOUS
2022-06-06,1253.5200,DEXKOUS
2022-06-07,1255.3200,DEXKOUS
2022-06-08,1253.5000,DEXKOUS
2022-06-09,1256.9100,DEXKOUS
2022-06-10,1268.0100,DEXKOUS
2022-06-13,1283.6900,DEXKOUS
2022-06-14,1285.8700,DEXKOUS
2022-06-15,1290.0500,DEXKOUS
2022-06-16,1286.7600,DEXKOUS
2022-06-17,1287.3600,DEXKOUS
2022-06-21,1293.2500,DEXKOUS
2022-06-22,1297.2100,DEXKOUS
2022-06-23,1300.8600,DEXKOUS
2022-06-24,1298.7100,DEXKOUS
2022-06-27,1286.2000,DEXKOUS
2022-06-28,1290.1800,DEXKOUS
2022-06-29,1298.3900,DEXKOUS
2022-06-30,1298.9500,DEXKOUS
2022-07-01,1297.1800,DEXKOUS
2022-07-05,1299.6900,DEXKOUS
2022-07-06,1307.1000,DEXKOUS
2022-07-07,1299.5100,DEXKOUS
2022-07-08,1299.5100,DEXKOUS
2022-07-11,1308.9000,DEXKOUS
2022-07-12,1311.9100,DEXKOUS
2022-07-13,1306.6500,DEXKOUS
2022-07-14,1311.7600,DEXKOUS
2022-07-15,1321.1500,DEXKOUS
2022-07-18,1316.7000,DEXKOUS
2022-07-19,1313.5200,DEXKOUS
2022-07-20,1313.1000,DEXKOUS
2022-07-21,1307.5800,DEXKOUS
2022-07-22,1312.8200,DEXKOUS
2022-07-25,1313.2700,DEXKOUS
2022-07-26,1308.3300,DEXKOUS
2022-07-27,1313.1400,DEXKOUS
2022-07-28,1299.6900,DEXKOUS
2022-07-29,1299.0800,DEXKOUS
2022-08-01,1304.1800,DEXKOUS
2022-08-02,1304.8900,DEXKOUS
2022-08-03,1310.6900,DEXKOUS
2022-08-04,1310.2000,DEXKOUS
2022-08-05,1298.2200,DEXKOUS
2022-08-08,1306.1100,DEXKOUS
2022-08-09,1304.5000,DEXKOUS
2022-08-10,1310.5400,DEXKOUS
2022-08-11,1302.7200,DEXKOUS
2022-08-12,1302.1300,DEXKOUS
2022-08-15,1305.8500,DEXKOUS
2022-08-16,1308.5400,DEXKOUS
2022-08-17,1310.1600,DEXKOUS
2022-08-18,1319.9400,DEXKOUS
2022-08-19,1325.5000,DEXKOUS
2022-08-22,1339.4000,DEXKOUS
2022-08-23,1339.4000,DEXKOUS
2022-08-24,1342.0500,DEXKOUS
2022-08-25,1335.4600,DEXKOUS
2022-08-26,1331.1700,DEXKOUS
2022-08-29,1349.8000,DEXKOUS
2022-08-30,1346.3700,DEXKOUS
2022-08-31,1338.6600,DEXKOUS
2022-09-01,1354.3400,DEXKOUS
2022-09-02,1362.2000,DEXKOUS
2022-09-06,1378.9500,DEXKOUS
2022-09-07,1383.7200,DEXKOUS
2022-09-08,1380.5100,DEXKOUS
2022-09-09,1376.7400,DEXKOUS
2022-09-12,1377.3800,DEXKOUS
2022-09-13,1373.7600,DEXKOUS
2022-09-14,1391.1000,DEXKOUS
2022-09-15,1393.9300,DEXKOUS
2022-09-16,1384.4800,DEXKOUS
2022-09-19,1393.0500,DEXKOUS
2022-09-20,1389.8600,DEXKOUS
2022-09-21,1395.9200,DEXKOUS
2022-09-22,1412.2900,DEXKOUS
2022-09-23,1409.4200,DEXKOUS
2022-09-26,1432.4700,DEXKOUS
2022-09-27,1422.3900,DEXKOUS
2022-09-28,1440.5000,DEXKOUS
2022-09-29,1439.1500,DEXKOUS
2022-09-30,1431.6700,DEXKOUS
2022-10-03,1434.8300,DEXKOUS
2022-10-04,1425.7500,DEXKOUS
2022-10-05,1410.7400,DEXKOUS
2022-10-06,1402.3300,DEXKOUS
2022-10-07,1412.5400,DEXKOUS
2022-10-11,1435.3600,DEXKOUS
2022-10-12,1423.8100,DEXKOUS
2022-10-13,1430.4000,DEXKOUS
2022-10-14,1428.0600,DEXKOUS
2022-10-17,1434.7300,DEXKOUS
2022-10-18,1422.1900,DEXKOUS
2022-10-19,1426.0700,DEXKOUS
2022-10-20,1431.6300,DEXKOUS
2022-10-21,1440.3100,DEXKOUS
2022-10-24,1439.1400,DEXKOUS
2022-10-25,1432.4600,DEXKOUS
2022-10-26,1425.6800,DEXKOUS
2022-10-27,1419.0000,DEXKOUS
2022-10-28,1421.6700,DEXKOUS
2022-10-31,1424.6000,DEXKOUS
2022-11-01,1416.2000,DEXKOUS
2022-11-02,1418.3100,DEXKOUS
2022-11-03,1423.9900,DEXKOUS
2022-11-04,1423.9900,DEXKOUS
2022-11-07,1402.0500,DEXKOUS
2022-11-08,1384.6100,DEXKOUS
2022-11-09,1364.8500,DEXKOUS
2022-11-10,1377.5200,DEXKOUS
2022-11-14,1327.3800,DEXKOUS
2022-11-15,1317.8800,DEXKOUS
2022-11-16,1326.4600,DEXKOUS
2022-11-17,1338.9700,DEXKOUS
2022-11-18,1339.6100,DEXKOUS
2022-11-21,1354.8700,DEXKOUS
2022-11-22,1356.6600,DEXKOUS
2022-11-23,1352.4900,DEXKOUS
2022-11-25,1325.2200,DEXKOUS
2022-11-28,1340.6600,DEXKOUS
