window,hidden,lr,weight_decay,batch,loss,config_id,seed,train_end,validation_end,best_epoch,epochs_run,naive_mae,mae,gain_percent
5,4,0.0001,0.0,64,mae,181,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,8,0.003,0.0,256,mse,182,42,874,999,7,17,5.986080000000007,5.985255905152959,0.0137668532169343
20,4,0.001,0.001,256,mae,185,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.0003,0.0,32,mse,161,42,874,999,26,36,5.986080000000007,5.983381365716947,0.0450818278917131
20,24,0.001,0.0,64,mse,184,42,874,999,1,11,5.986080000000007,5.984708699373627,0.0229081573647649
10,16,0.0003,0.1,32,mae,186,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,24,0.0001,0.0,64,mae,187,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.001,0.1,32,mae,183,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,16,0.0001,0.1,256,mse,190,42,874,999,16,26,5.986080000000007,5.983968427693531,0.0352747090997196
60,24,3e-05,0.01,256,mae,191,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,24,0.0001,0.001,64,mae,193,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,16,3e-05,0.0,256,mse,188,42,874,999,26,36,5.986080000000007,5.984998378867334,0.0180689388159405
5,32,0.0001,0.0,256,mse,195,42,874,999,1,11,5.986080000000007,5.985709785143262,0.0061845958748474
20,32,0.001,0.1,256,mse,194,42,874,999,2,12,5.986080000000007,5.984271779403048,0.030207090399037
30,24,0.0003,0.0,64,mae,196,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,8,0.0001,0.0,32,mse,192,42,874,999,15,25,5.986080000000007,5.983982813364779,0.0350343903728012
60,8,0.0001,0.0,256,mse,197,42,874,999,8,18,5.986080000000007,5.985231536796013,0.0141739369335924
10,32,3e-05,0.0,256,mae,198,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.001,0.01,32,mse,189,42,874,999,10,20,5.986080000000007,5.982958886174172,0.0521395274676428
30,16,0.003,0.1,64,mae,201,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,32,0.0001,0.1,64,mse,199,42,874,999,3,13,5.986080000000007,5.984783497816088,0.0216586177251065
10,16,0.001,0.01,256,mse,202,42,874,999,8,18,5.986080000000007,5.983842847045444,0.0373725869778462
60,4,0.001,0.0,64,mse,200,42,874,999,2,12,5.986080000000007,5.984697811857413,0.0230900379312393
30,4,0.0003,0.01,256,mse,203,42,874,999,2,12,5.986080000000007,5.985039648422764,0.0173795134252086
5,8,0.003,0.001,64,mse,204,42,874,999,4,14,5.986080000000007,5.983615506273441,0.0411704107958099
5,16,0.0001,0.01,32,mae,206,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,32,0.0001,0.1,32,mse,207,42,874,999,1,11,5.986080000000007,5.986028757246913,0.0008560318788597
30,4,0.0001,0.001,32,mse,209,42,874,999,1,11,5.986080000000007,5.985592027025541,0.0081517950723308
30,64,0.001,0.0,64,mae,205,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,64,0.0003,0.0,64,mae,210,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,4,0.001,0.0,64,mae,213,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,24,3e-05,0.01,32,mse,208,42,874,999,13,23,5.986080000000007,5.984737314308632,0.0224301327642728
60,8,0.0003,0.0,32,mae,211,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,8,0.003,0.0,32,mae,214,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,32,0.0001,0.01,256,mse,212,42,874,999,7,17,5.986080000000007,5.984496531188097,0.0264525167039231
20,16,0.003,0.1,256,mae,217,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,32,0.0001,0.001,256,mae,215,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,4,0.003,0.0,32,mae,216,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,16,0.001,0.1,256,mse,220,42,874,999,8,18,5.986080000000007,5.983839348890401,0.0374310251384346
30,24,0.001,0.001,64,mae,218,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,0.0003,0.01,256,mae,222,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,16,3e-05,0.01,64,mae,221,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,32,0.001,0.001,64,mse,223,42,874,999,1,11,5.986080000000007,5.984094675715603,0.0331656824567039
30,4,0.0001,0.001,256,mse,224,42,874,999,6,16,5.986080000000007,5.9848697717255765,0.0202173755517898
60,32,0.0001,0.0,256,mae,219,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,4,0.0001,0.01,64,mae,228,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,8,0.0003,0.1,256,mse,229,42,874,999,11,21,5.986080000000007,5.98368091079395,0.0400778005983371
10,16,0.0003,0.001,32,mse,227,42,874,999,5,15,5.986080000000007,5.983749223079872,0.0389366149489367
5,8,0.0003,0.1,256,mae,230,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,8,0.0001,0.001,32,mae,231,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,32,0.0001,0.001,64,mse,232,42,874,999,3,13,5.986080000000007,5.984783733646751,0.0216546780740789
30,24,3e-05,0.0,64,mse,233,42,874,999,1,11,5.986080000000007,5.985911184540857,0.0028201336960131
20,24,0.0001,0.0,32,mae,234,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,64,0.003,0.001,32,mse,226,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,16,0.0001,0.1,256,mae,236,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.0003,0.1,256,mse,235,42,874,999,1,11,5.986080000000007,5.985577420975054,0.0083957953277202
10,32,0.0001,0.001,64,mae,238,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,32,0.0003,0.0,256,mae,240,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.003,0.001,256,mse,237,42,874,999,2,12,5.986080000000007,5.984309162902788,0.0295825832133833
20,16,0.003,0.0,64,mse,242,42,874,999,8,18,5.986080000000007,5.983129284138797,0.0492929573478906
5,4,3e-05,0.1,64,mse,241,42,874,999,38,48,5.986080000000007,5.984208228186266,0.031268740373358
60,4,3e-05,0.1,32,mse,225,42,874,999,60,60,5.986080000000007,5.98392739315584,0.0359602084196608
